season,dow,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
DJF,Fri,17,13,538.5690,204.9246,2364.8805
DJF,Fri,18,13,553.2034,205.9835,2529.5283
DJF,Fri,19,13,587.8321,228.7185,2917.6068
DJF,Fri,20,13,610.2039,245.6086,3194.3637
DJF,Fri,21,13,540.9056,189.1662,2399.8486
DJF,Fri,22,13,548.2619,204.4226,2509.7585
DJF,Fri,23,13,514.5152,206.7922,2170.4576
DJF,Fri,24,13,548.1743,216.4692,2469.2593
DJF,Sat,1,13,574.2952,217.7411,2739.2704
DJF,Sat,2,13,601.1551,244.0361,3001.2492
DJF,Sat,3,13,606.3591,242.7663,3063.4911
DJF,Sat,4,13,583.4469,226.5513,2781.8256
DJF,Sat,5,13,560.0450,192.6970,2812.2587
DJF,Sat,6,13,528.2029,184.6834,2515.8375
DJF,Sat,7,13,537.8138,194.9864,2408.3272
DJF,Sat,8,13,570.5864,218.7800,2674.0348
DJF,Sat,9,13,578.1147,223.9736,2695.1064
DJF,Sat,10,13,551.7637,188.9889,2533.8312
DJF,Sat,11,13,558.0317,201.2453,2677.4028
DJF,Sat,12,13,552.5942,209.0590,2600.4858
DJF,Sat,13,13,562.8904,219.8738,2704.5752
DJF,Sat,14,13,586.4880,232.0561,2855.4069
DJF,Sat,15,13,584.2274,236.1017,2746.8138
DJF,Sat,16,13,544.7247,204.9214,2380.2113
DJF,Sat,17,13,538.5690,204.9246,2364.8805
DJF,Sat,18,13,553.2034,205.9835,2529.5283
DJF,Sat,19,13,587.8321,228.7185,2917.6068
DJF,Sat,20,13,610.2039,245.6086,3194.3637
DJF,Sat,21,13,540.9056,189.1662,2399.8486
DJF,Sat,22,13,548.2619,204.4226,2509.7585
DJF,Sat,23,13,514.5152,206.7922,2170.4576
DJF,Sat,24,13,548.1743,216.4692,2469.2593
DJF,Sun,1,12,574.2952,217.7411,2739.2704
DJF,Sun,2,12,601.1551,244.0361,3001.2492
DJF,Sun,3,12,606.3591,242.7663,3063.4911
DJF,Sun,4,12,583.4469,226.5513,2781.8256
DJF,Sun,5,12,560.0450,192.6970,2812.2587
DJF,Sun,6,12,528.2029,184.6834,2515.8375
DJF,Sun,7,12,537.8138,194.9864,2408.3272
DJF,Sun,8,12,570.5864,218.7800,2674.0348
DJF,Sun,9,12,578.1147,223.9736,2695.1064
DJF,Sun,10,12,551.7637,188.9889,2533.8312
DJF,Sun,11,12,558.0317,201.2453,2677.4028
DJF,Sun,12,12,552.5942,209.0590,2600.4858
DJF,Sun,13,12,562.8904,219.8738,2704.5752
DJF,Sun,14,12,586.4880,232.0561,2855.4069
DJF,Sun,15,12,584.2274,236.1017,2746.8138
DJF,Sun,16,12,544.7247,204.9214,2380.2113
DJF,Sun,17,12,538.5690,204.9246,2364.8805
DJF,Sun,18,12,553.2034,205.9835,2529.5283
DJF,Sun,19,12,587.8321,228.7185,2917.6068
DJF,Sun,20,12,610.2039,245.6086,3194.3637
DJF,Sun,21,12,540.9056,189.1662,2399.8486
DJF,Sun,22,12,548.2619,204.4226,2509.7585
DJF,Sun,23,12,514.5152,206.7922,2170.4576
DJF,Sun,24,12,548.1743,216.4692,2469.2593
MAM,Mon,1,13,569.0545,200.3965,2755.5990
MAM,Mon,2,13,583.4228,235.9988,2776.2044
MAM,Mon,3,13,592.8188,266.9610,2963.2103
MAM,Mon,4,13,601.9046,271.9319,3046.1943
MAM,Mon,5,13,540.2080,227.4719,2333.9425
MAM,Mon,6,13,556.8730,207.4045,2609.8013
MAM,Mon,7,13,544.5240,199.0115,2388.7918
MAM,Mon,8,13,566.2305,217.8420,2603.0276
MAM,Mon,9,13,558.4066,216.9645,2480.9578
MAM,Mon,10,13,552.1562,214.7474,2464.9077
MAM,Mon,11,13,567.4934,229.9741,2803.6200
MAM,Mon,12,13,563.4974,217.7950,2624.7615
MAM,Mon,13,13,569.1929,221.4761,2638.4435
MAM,Mon,14,13,556.6783,210.4353,2466.3979
MAM,Mon,15,13,564.7135,214.3135,2602.0957
MAM,Mon,16,13,561.4895,211.4646,2544.8640
MAM,Mon,17,13,534.4623,192.6001,2301.6480
MAM,Mon,18,13,537.3386,191.4617,2335.6815
MAM,Mon,19,13,533.5243,193.6517,2237.1222
MAM,Mon,20,13,561.7099,215.9488,2572.0206
MAM,Mon,21,13,600.8530,245.4676,3004.4247
MAM,Mon,22,13,536.7975,184.0155,2282.9039
MAM,Mon,23,13,528.0758,192.4561,2268.0259
MAM,Mon,24,13,557.4885,195.4644,2694.5471
MAM,Tue,1,13,569.0545,200.3965,2755.5990
MAM,Tue,2,13,583.4228,235.9988,2776.2044
MAM,Tue,3,13,592.8188,266.9610,2963.2103
MAM,Tue,4,13,601.9046,271.9319,3046.1943
MAM,Tue,5,13,540.2080,227.4719,2333.9425
MAM,Tue,6,13,556.8730,207.4045,2609.8013
MAM,Tue,7,13,544.5240,199.0115,2388.7918
MAM,Tue,8,13,566.2305,217.8420,2603.0276
MAM,Tue,9,13,558.4066,216.9645,2480.9578
MAM,Tue,10,13,552.1562,214.7474,2464.9077
MAM,Tue,11,13,567.4934,229.9741,2803.6200
MAM,Tue,12,13,563.4974,217.7950,2624.7615
MAM,Tue,13,13,569.1929,221.4761,2638.4435
MAM,Tue,14,13,556.6783,210.4353,2466.3979
MAM,Tue,15,13,564.7135,214.3135,2602.0957
MAM,Tue,16,13,561.4895,211.4646,2544.8640
MAM,Tue,17,13,534.4623,192.6001,2301.6480
MAM,Tue,18,13,537.3386,191.4617,2335.6815
MAM,Tue,19,13,533.5243,193.6517,2237.1222
MAM,Tue,20,13,561.7099,215.9488,2572.0206
MAM,Tue,21,13,600.8530,245.4676,3004.4247
MAM,Tue,22,13,536.7975,184.0155,2282.9039
MAM,Tue,23,13,528.0758,192.4561,2268.0259
MAM,Tue,24,13,557.4885,195.4644,2694.5471
MAM,Wed,1,13,569.0545,200.3965,2755.5990
MAM,Wed,2,13,583.4228,235.9988,2776.2044
MAM,Wed,3,13,592.8188,266.9610,2963.2103
MAM,Wed,4,13,601.9046,271.9319,3046.1943
MAM,Wed,5,13,540.2080,227.4719,2333.9425
MAM,Wed,6,13,556.8730,207.4045,2609.8013
MAM,Wed,7,13,544.5240,199.0115,2388.7918
MAM,Wed,8,13,566.2305,217.8420,2603.0276
MAM,Wed,9,13,558.4066,216.9645,2480.9578
MAM,Wed,10,13,552.1562,214.7474,2464.9077
MAM,Wed,11,13,567.4934,229.9741,2803.6200
MAM,Wed,12,13,563.4974,217.7950,2624.7615
MAM,Wed,13,13,569.1929,221.4761,2638.4435
MAM,Wed,14,13,556.6783,210.4353,2466.3979
MAM,Wed,15,13,564.7135,214.3135,2602.0957
MAM,Wed,16,13,561.4895,211.4646,2544.8640
MAM,Wed,17,13,534.4623,192.6001,2301.6480
MAM,Wed,18,13,537.3386,191.4617,2335.6815
MAM,Wed,19,13,533.5243,193.6517,2237.1222
MAM,Wed,20,13,561.7099,215.9488,2572.0206
MAM,Wed,21,13,600.8530,245.4676,3004.4247
MAM,Wed,22,13,536.7975,184.0155,2282.9039
MAM,Wed,23,13,528.0758,192.4561,2268.0259
MAM,Wed,24,13,557.4885,195.4644,2694.5471
MAM,Thu,1,13,569.0545,200.3965,2755.5990
MAM,Thu,2,13,583.4228,235.9988,2776.2044
MAM,Thu,3,13,592.8188,266.9610,2963.2103
MAM,Thu,4,13,601.9046,271.9319,3046.1943
MAM,Thu,5,13,540.2080,227.4719,2333.9425
MAM,Thu,6,13,556.8730,207.4045,2609.8013
MAM,Thu,7,13,544.5240,199.0115,2388.7918
MAM,Thu,8,13,566.2305,217.8420,2603.0276
MAM,Thu,9,13,558.4066,216.9645,2480.9578
MAM,Thu,10,13,552.1562,214.7474,2464.9077
MAM,Thu,11,13,567.4934,229.9741,2803.6200
MAM,Thu,12,13,563.4974,217.7950,2624.7615
MAM,Thu,13,13,569.1929,221.4761,2638.4435
MAM,Thu,14,13,556.6783,210.4353,2466.3979
MAM,Thu,15,13,564.7135,214.3135,2602.0957
MAM,Thu,16,13,561.4895,211.4646,2544.8640
MAM,Thu,17,13,534.4623,192.6001,2301.6480
MAM,Thu,18,13,537.3386,191.4617,2335.6815
MAM,Thu,19,13,533.5243,193.6517,2237.1222
MAM,Thu,20,13,561.7099,215.9488,2572.0206
MAM,Thu,21,13,600.8530,245.4676,3004.4247
MAM,Thu,22,13,536.7975,184.0155,2282.9039
MAM,Thu,23,13,528.0758,192.4561,2268.0259
MAM,Thu,24,13,557.4885,195.4644,2694.5471
MAM,Fri,1,13,569.0545,200.3965,2755.5990
MAM,Fri,2,13,583.4228,235.9988,2776.2044
MAM,Fri,3,13,592.8188,266.9610,2963.2103
MAM,Fri,4,13,601.9046,271.9319,3046.1943
MAM,Fri,5,13,540.2080,227.4719,2333.9425
MAM,Fri,6,13,556.8730,207.4045,2609.8013
MAM,Fri,7,13,544.5240,199.0115,2388.7918
MAM,Fri,8,13,566.2305,217.8420,2603.0276
MAM,Fri,9,13,558.4066,216.9645,2480.9578
MAM,Fri,10,13,552.1562,214.7474,2464.9077
MAM,Fri,11,13,567.4934,229.9741,2803.6200
MAM,Fri,12,13,563.4974,217.7950,2624.7615
MAM,Fri,13,13,569.1929,221.4761,2638.4435
MAM,Fri,14,13,556.6783,210.4353,2466.3979
MAM,Fri,15,13,564.7135,214.3135,2602.0957
MAM,Fri,16,13,561.4895,211.4646,2544.8640
MAM,Fri,17,13,534.4623,192.6001,2301.6480
MAM,Fri,18,13,537.3386,191.4617,2335.6815
MAM,Fri,19,13,533.5243,193.6517,2237.1222
MAM,Fri,20,13,561.7099,215.9488,2572.0206
MAM,Fri,21,13,600.8530,245.4676,3004.4247
MAM,Fri,22,13,536.7975,184.0155,2282.9039
MAM,Fri,23,13,528.0758,192.4561,2268.0259
MAM,Fri,24,13,557.4885,195.4644,2694.5471
MAM,Sat,1,13,569.0545,200.3965,2755.5990
MAM,Sat,2,13,583.4228,235.9988,2776.2044
MAM,Sat,3,13,592.8188,266.9610,2963.2103
MAM,Sat,4,13,601.9046,271.9319,3046.1943
MAM,Sat,5,13,540.2080,227.4719,2333.9425
MAM,Sat,6,13,556.8730,207.4045,2609.8013
MAM,Sat,7,13,544.5240,199.0115,2388.7918
MAM,Sat,8,13,566.2305,217.8420,2603.0276
MAM,Sat,9,13,558.4066,216.9645,2480.9578
MAM,Sat,10,13,552.1562,214.7474,2464.9077
MAM,Sat,11,13,567.4934,229.9741,2803.6200
MAM,Sat,12,13,563.4974,217.7950,2624.7615
